id,host_is_superhost,host_listings_count,host_identity_verified,latitude,longitude,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,host_days_active,first_review_since,last_review_since,kitchen,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,heating,child_friendly,parking,outdoor_space,host_greeting,tub_sauna_or_pool,internet,long_term_stays,private_entrance,secure,fire_fighting_measures,first_aid_kit,dedicated_workspace,lock,essentials,host_verifications_email,host_verifications_work_email,['neighbourhood_cleansed']_Dn Laoghaire-Rathdown,['neighbourhood_cleansed']_Dublin City,['neighbourhood_cleansed']_Fingal,['neighbourhood_cleansed']_South Dublin,['room_type']_Entire home/apt,['room_type']_Hotel room,['room_type']_Private room,['room_type']_Shared room
427077,1,4,1,53.35572,-6.25803,3,1.0,1.0,2.0,154,2,1124,498,4.84,4.88,4.91,4.86,4.85,4.6,4.69,0,3.95,3807.0,3786.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
427495,0,3,1,53.39027,-6.23547,2,2.0,3.0,1.0,60,3,21,176,4.59,4.72,4.51,4.85,4.89,4.52,4.63,0,1.44,4091.0,3663.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
449556,0,1,1,53.42654,-6.22952,4,1.0,1.0,3.0,155,1,1125,271,4.19,4.63,4.45,4.67,4.54,4.67,4.21,0,2.44,3791.0,3330.0,15.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,1,0,0,0,1,0
454183,1,4,0,53.35334,-6.29797,3,1.0,1.0,2.0,132,3,1125,93,4.67,4.74,4.59,4.96,4.97,4.76,4.55,0,1.46,4218.0,1909.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0,1,0,0,0
468082,1,2,1,53.35328,-6.45154,5,2.0,2.0,3.0,70,1,21,296,4.7,4.81,4.7,4.84,4.9,4.75,4.69,1,2.42,3806.0,3661.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,0,0,1,0,0,1,0
497136,0,2,1,53.33596,-6.22059,2,2.0,1.0,1.0,139,1,7,113,4.62,4.74,4.44,4.8,4.78,4.55,4.5,0,0.93,4133.0,3660.0,1144.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
522667,1,4,1,53.355545,-6.258094,3,1.0,1.0,1.0,153,2,1124,430,4.81,4.91,4.96,4.9,4.89,4.65,4.69,0,3.46,3807.0,3731.0,19.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
526767,1,3,1,53.34752,-6.26393,3,1.0,2.0,2.0,194,1,60,568,4.9,4.94,4.92,4.96,4.98,4.93,4.77,0,4.65,3777.0,3660.0,8.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,1,0,0,1,0,0,0
587218,1,2,1,53.36405,-6.27351,2,1.5,1.0,1.0,80,2,7,220,4.98,4.97,4.96,4.99,4.99,4.76,4.94,0,1.81,3716.0,3647.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
592840,1,2,1,53.35153,-6.45154,1,1.5,1.0,1.0,55,1,5,42,4.9,4.98,4.95,4.93,4.95,4.9,4.8,0,0.34,3806.0,3661.0,18.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,0,0,1,0,0,1,0
610233,0,1,1,53.34616,-6.27228,4,2.5,2.0,2.0,150,2,1125,61,4.82,4.89,4.66,4.89,4.89,4.97,4.7,0,0.5,4112.0,3673.0,1269.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0
637185,0,1,1,53.34675,-6.27552,2,1.0,1.0,1.0,119,7,60,158,4.5,4.6,4.43,4.63,4.55,4.72,4.55,0,1.31,3689.0,3612.0,1430.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0,0,1,0,0,0
641880,0,2,1,53.34427,-6.28322,2,1.0,1.0,1.0,85,2,1125,46,4.53,4.78,4.31,4.87,4.87,4.53,4.56,0,0.47,3686.0,2964.0,2184.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
654589,1,2,1,53.34493,-6.26688,4,1.0,2.0,3.0,356,3,150,538,4.78,4.81,4.84,4.9,4.94,4.94,4.63,0,4.41,3682.0,3660.0,13.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
690119,0,1,1,53.29448,-6.24686,4,2.0,2.0,2.0,341,5,180,216,4.9,4.93,4.85,4.95,4.97,4.72,4.78,1,1.92,3654.0,3374.0,14.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0
726011,1,1,1,53.58179,-6.12118,3,1.5,1.0,3.0,113,3,1125,164,4.9,4.89,4.9,4.95,4.98,4.96,4.77,0,1.5,3630.0,3281.0,41.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,0,1,0,1,0,0,0
726075,1,9,1,53.36973,-6.25788,5,3.5,3.0,5.0,125,7,180,3,4.33,4.33,4.0,5.0,5.0,5.0,4.33,0,0.04,3630.0,2570.0,1836.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
736751,0,1,1,53.3701,-6.25308,2,1.5,1.0,1.0,80,14,30,74,4.52,4.62,4.36,4.81,4.75,4.65,4.6,0,0.61,3638.0,3609.0,86.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
736827,0,16,1,53.34845,-6.24015,4,1.5,2.0,1.0,116,28,365,7,4.67,4.5,4.83,4.5,5.0,4.67,4.33,1,0.07,3622.0,3088.0,2595.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0
742656,0,2,1,53.33387,-6.26429,2,0.5,1.0,1.0,65,2,1001,368,4.58,4.68,4.43,4.85,4.9,4.77,4.55,0,3.52,3618.0,3137.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
743772,0,2,0,53.36721,-6.26704,2,1.0,1.0,1.0,140,2,1125,5,4.75,4.25,5.0,5.0,5.0,5.0,4.25,0,0.05,3617.0,3094.0,99.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0
747284,0,1,1,53.29505,-6.23371,4,1.5,2.0,1.0,229,15,90,38,4.97,4.95,4.97,4.97,5.0,4.87,4.79,0,0.33,3889.0,3465.0,14.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0
871174,1,2,1,53.3678,-6.20609,3,1.0,1.0,2.0,42,2,1125,244,4.45,4.68,4.17,4.73,4.74,4.62,4.48,0,2.11,3537.0,3474.0,23.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
872539,1,1,1,53.35789,-6.23813,4,1.0,2.0,2.0,280,3,10,120,4.79,4.85,4.92,4.93,4.87,4.51,4.66,0,1.04,3536.0,3472.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
922425,0,2,1,53.34202,-6.27351,4,1.0,2.0,2.0,204,7,14,131,4.78,4.87,4.57,4.86,4.92,4.86,4.72,0,1.14,3894.0,3442.0,65.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
928970,0,2,1,53.34096,-6.23917,4,1.0,1.0,3.0,165,2,28,37,4.81,4.94,4.66,4.92,4.94,4.97,4.61,0,0.34,3504.0,3312.0,917.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
929816,0,2,1,53.34434,-6.23888,2,1.0,1.0,1.0,79,2,16,161,4.96,4.96,4.99,4.99,4.98,4.81,4.87,0,1.39,3505.0,3467.0,938.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,1,0
939866,0,2,1,53.34408,-6.23923,4,2.0,2.0,2.0,334,2,14,156,4.93,4.93,4.95,4.92,4.94,4.85,4.77,0,1.35,3505.0,3472.0,724.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0,1,0,0,1,0,0,0
946923,0,16,1,53.34383,-6.23912,2,1.0,1.0,1.0,60,5,1125,11,4.55,4.82,4.82,4.82,4.82,5.0,4.73,1,0.12,3622.0,2661.0,114.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0
990212,0,1,1,53.33771,-6.31474,6,1.5,4.0,5.0,205,7,28,38,4.79,4.95,4.79,4.92,4.92,4.58,4.84,0,0.44,3471.0,2617.0,15.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
990300,0,1,1,53.3133,-6.25374,3,1.0,2.0,2.0,65,1,4,204,4.9,4.94,4.95,4.96,4.96,4.92,4.84,0,1.77,3471.0,3464.0,1660.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
998407,0,3,1,53.39622,-6.1756,2,1.0,1.0,1.0,53,1,3,254,4.31,4.6,4.45,4.84,4.78,4.27,4.4,0,2.66,3996.0,2862.0,15.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
999963,1,2,1,53.36193,-6.27423,2,1.0,1.0,1.0,200,7,365,10,4.9,4.9,4.7,5.0,5.0,4.7,4.9,0,0.1,3466.0,2949.0,1853.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
1073487,0,1,1,53.30443,-6.24083,1,1.0,1.0,1.0,85,3,20,72,4.9,4.94,4.85,4.97,4.92,4.86,4.84,0,0.64,3439.0,3399.0,9.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,1,0
1076634,0,1,1,53.31546,-6.3119,2,1.5,1.0,1.0,75,5,22,50,4.64,4.69,4.58,4.77,4.88,4.49,4.61,0,0.45,4077.0,3315.0,1220.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
1086416,0,1,1,53.35846,-6.27528,2,1.0,1.0,1.0,106,3,7,240,4.86,4.93,4.93,4.93,4.97,4.57,4.76,0,2.12,3435.0,3402.0,20.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
1173029,1,1,1,53.35107,-6.27992,4,2.0,2.0,2.0,271,3,30,329,4.83,4.85,4.82,4.89,4.9,4.74,4.78,0,3.73,3662.0,2645.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
1184087,0,8,1,53.34567,-6.34929,9,4.0,5.0,5.0,336,5,1125,18,4.89,4.83,4.61,4.89,4.94,4.67,4.78,0,0.16,3402.0,3355.0,29.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,0,0,1,0,0,0
1207950,0,1,1,53.28341,-6.24498,8,3.0,4.0,4.0,270,5,28,72,4.93,4.99,4.97,4.97,5.0,4.84,4.91,0,0.65,3395.0,3332.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1,0,0,0,1,0,0,0
1255270,1,3,1,53.33893,-6.43476,1,1.0,1.0,1.0,40,30,1125,10,4.9,5.0,5.0,5.0,5.0,4.4,4.9,0,0.09,3381.0,3318.0,287.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,0,0,1,0,0,1,0
1270261,0,1,1,53.56548,-6.31617,6,2.0,1.0,6.0,50,1,1125,9,4.89,4.88,4.88,5.0,5.0,4.75,4.88,0,0.09,4183.0,2926.0,148.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,1,0,0,0,1,0
1276002,0,1,1,53.35176,-6.23248,5,1.5,3.0,3.0,593,2,365,70,4.87,4.9,4.85,4.92,4.99,4.4,4.73,0,0.66,3375.0,3175.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0,1,0,0,1,0,0,0
1296492,0,1,1,53.33986,-6.22244,2,1.0,1.0,1.0,48,2,1125,54,4.54,4.7,4.6,4.77,4.81,4.58,4.45,0,0.5,3539.0,3243.0,1727.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,0,0,0,0,1,0
