id,neighborhood_overview,host_is_superhost,host_listings_count,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,kitchen,balcony,bed_linen,breakfast,tv,coffee_machine,cooking_basics,white_goods,elevator,heating,child_friendly,parking,outdoor_space,host_greeting,tub_sauna_or_pool,internet,long_term_stays,private_entrance,secure,fire_fighting_measures,first_aid_kit,dedicated_workspace,lock,essentials,host_verifications_email,host_verifications_work_email,host_days_active
292757,"Our house is located at the gate of the famous Phoenix Park. The house has a beautiful country feel about it but yet it is 10 minutes from the City Centre. We are within 10 mins drive of 5 golf courses, so we are ideal for golf enthusiasts. We are only 20 minutes drive also from the Dublin mountains again ideal for hill walkers,and those that like horse riding.The village of Castleknock is 8 minutes walk from the house. Here you have 5 restaurants 3 pubs and all local amenities like hair dressers, dry cleaners, beauticians etc.<br />As we are at the Phoenix Park gate, our house is ideally situated for any event being held in the Phoenix park, like Bloom in June, Iron Man in August and motor racing and Dublin Marathon",1,1,1,Dublin City,53.36949,-6.34889,Entire home/apt,9,2.5,4.0,5.0,121,2,1125,362,30,0,4.92,4.91,4.78,4.95,4.95,4.94,4.84,0,2.97,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3921.0
302554,"This street is a beautifully tree lined street which runs right up the the entrance of the Phoenix Park.<br />This park is the largest urban park in Europe and houses Dublin Zoo and the presidential home and offices as well as a children's playground.  It is a wonderful park to visit and spans over 1750 acres. <br />The street also has beautiful Victorian red bricked houses all along it which date back to the 18th century so it really is a taste of old Dublin.<br />There is a major supermarket just 3 minutes walk as well as a pharmacy, bakery, coffee shops, bars, restuarants and many other amenities all within easy walking distance.",0,8,1,Dublin City,53.35681,-6.29094,Entire home/apt,5,1.0,1.0,3.0,200,2,365,59,4,0,4.67,4.72,4.83,4.93,4.9,4.44,4.65,1,0.46,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3906.0
302634,"This street is a beautifully tree lined street which runs right up the the entrance of the Phoenix Park.<br />This park is the largest urban park in Europe and houses Dublin Zoo and the presidential home and offices as well as a children's playground.  It is a wonderful park to visit and spans over 1750 acres. <br />The street also has beautiful Victorian red bricked houses all along it which date back to the 18th century so it really is a taste of old Dublin.<br />There is a major supermarket just 2 minutes walk as well as a pharmacy, bakery, coffee shops, bars, restuarants and many other amenities all within easy walking distance.",0,8,1,Dublin City,53.35681,-6.29094,Entire home/apt,2,1.0,1.0,2.0,101,2,365,105,21,4,4.61,4.69,4.75,4.83,4.91,4.47,4.48,1,0.82,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3906.0
374792,"Conveniently situated close to 'The Dubline' Dublin Discovery Trail, featuring Kilmainham Gaol and Courthouse and The Royal Hospital Kilmainham, Ireland's oldest public building dating back to 1684. We are just a short walk to the War Memorial Gardens. Our apartments have been restored with great care and attention to detail, retaining the original Victorian features providing classic, comfortable and select accommodation in Dublin. Our apartments are upmarket with attention to detail and our guest comfort our priority. Easy access to all the top restaurants, pubs, museums and attractions that Dublin has to offer. For those who prefer a quicker route than the Dubline trail, the bus stop is almost outside the door with route 13 serving Guinness Storehouse, Christchurch Cathedral, Dublin Castle, Temple Bar, Trinity College and O'Connell St.<br />A 5 minute walk to the Luas red line,travelling via The Museum at Collins Barracks, The Jameson Distillery, Jervis St., Dublin Convention Centre",0,5,1,Dublin City,53.33744,-6.32363,Entire home/apt,4,1.0,1.0,3.0,212,3,365,35,7,1,4.48,4.5,4.59,4.85,4.79,4.41,4.5,1,0.28,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,4085.0
386860,Portobello is the heart of Dublin 8. The swans congregate along the area of the canal just outside the house. For foodies there are restaurants of all genres within a 10 minute walk. The nightlife along camden street is second to none.,0,2,1,Dublin City,53.3379,-6.27517,Entire home/apt,4,1.0,2.0,2.0,164,1,30,92,0,0,4.67,4.77,4.52,4.91,4.83,4.77,4.56,0,0.75,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3832.0
393631,"We have lovely neighbours and the location is perfect with access to all the best spots in Dublin and to the main transport systems. It is a real inner city community steeped in history. Make sure to check out the walkway to clontarf where you can walk / cycle beside the sea all the way to bull island - bird sanctuary. If you're feeling brave you can even have a swim here, many do! The local pubs are legendary and some of the best italian food in Dublin is just across the road. There's also lovely deli's all close to hand.",0,1,1,Dublin City,53.35764,-6.24171,Entire home/apt,6,2.0,3.0,3.0,180,3,1125,72,0,0,4.87,4.88,4.86,4.93,4.91,4.24,4.65,0,0.59,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3829.0
419987,"This street is a beautifully tree lined street which runs right up the the entrance of the Phoenix Park.<br />This park is the largest urban park in Europe and houses Dublin Zoo and the presidential home and offices as well as a children's playground.  It is a wonderful park to visit and spans over 1750 acres. <br />The street also has beautiful Victorian red bricked houses all along it which date back to the 18th century so it really is a taste of old Dublin.<br />There is a major supermarket just 2 minutes walk as well as a pharmacy, bakery, coffee shops, bars, restuarants and many other amenities all within easy walking distance.",0,8,1,Dublin City,53.35682,-6.29132,Entire home/apt,6,1.0,1.0,3.0,240,2,365,145,41,1,4.8,4.8,4.85,4.92,4.94,4.5,4.61,1,1.2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3906.0
424596,"A beautiful, historic residential square, built in 1790's, within 5-10 minutes walk of down-town city centre. Elegance and convenience combined with a bit of inner city grittiness. I have loved it all, since 1978!<br /><br />Mountjoy Square is situated just NE of the historic city centre, within walking distance of just about all the main city attractions. It is the most densely populated area in the entire city: 1500 people have front doors opening onto the Square.<br /><br />The house fronts onto a 4acre/1.5ha park, across a fairly busy street. This apartment faces the side street, so it is quieter, but you will still hear traffic.....Please bear in mind that this is NOT LEAFY SUBURBIA, but a vibrant, living city community and it's definitely gritty in places... Having said that, I have lived here, uneventfully, for nearly 38 years, and consider the trade-offs well worth it, for the excitement and convenience of having the city on my doorstep..",1,4,1,Dublin City,53.355545,-6.258094,Entire home/apt,3,1.0,1.0,1.0,155,2,1124,519,72,4,4.84,4.92,4.91,4.89,4.88,4.62,4.75,0,4.16,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3807.0
426326,"Pleasant and quiet neighbourhood with shops, restaurants and parks nearby.",0,3,1,Dublin City,53.39027,-6.23547,Private room,3,2.0,1.0,2.0,60,3,21,254,15,5,4.61,4.78,4.49,4.83,4.84,4.56,4.61,0,2.04,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,4091.0
427077,"A beautiful, historic, residential square, built in 1790's, within 5-10 minutes walk of the city centre. Elegance and convenience combined with a bit of inner city grittiness. I have loved it all, since 1978!",1,4,1,Dublin City,53.35572,-6.25803,Entire home/apt,3,1.0,1.0,2.0,154,2,1124,498,57,4,4.84,4.88,4.91,4.86,4.85,4.6,4.69,0,3.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3807.0
427495,it is a very nice area  and lovely and quiet and I have just installed a downstairs shower room,0,3,1,Dublin City,53.39027,-6.23547,Private room,2,2.0,3.0,1.0,60,3,21,176,13,8,4.59,4.72,4.51,4.85,4.89,4.52,4.63,0,1.44,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4091.0
449556,,0,1,1,Fingal,53.42654,-6.22952,Private room,4,1.0,1.0,3.0,155,1,1125,271,51,6,4.19,4.63,4.45,4.67,4.54,4.67,4.21,0,2.44,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3791.0
454183,"The Phoenix Park beside and quick and easy access to the centre, its on a charming tree-lined street of three storey Victorian  townhouses (with architectural heritage protection), right beside an enormous park. This my favourite part of central Dublin to live",1,4,0,Dublin City,53.35334,-6.29797,Entire home/apt,3,1.0,1.0,2.0,132,3,1125,93,20,3,4.67,4.74,4.59,4.96,4.97,4.76,4.55,0,1.46,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,4218.0
468082,"Lucan village is a quaint place with fun gastro pubs and cafes for tasty breakfast , lunch and dinner all within five minutes walk. Lots of buses go to the city centre from the village.",1,2,1,South Dublin,53.35328,-6.45154,Private room,5,2.0,2.0,3.0,70,1,21,296,82,10,4.7,4.81,4.7,4.84,4.9,4.75,4.69,1,2.42,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3806.0
497136,"My neighbourhood is full of history and literary tradition . Very safe to walk around, lovely Beach and park across the road. It's all here, the village is 5 mins away with everything in it , old bars, cafe, restaurants, shops and bank. The city centre is half hour on foot, ten mins by bus , €12 by cab after a night out ,!",0,2,1,Dublin City,53.33596,-6.22059,Private room,2,2.0,1.0,1.0,139,1,7,113,0,0,4.62,4.74,4.44,4.8,4.78,4.55,4.5,0,0.93,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,4133.0
522667,"A beautiful, historic residential square, built in 1790's, within 5-10 minutes walk of the city centre. Elegance and convenience combined with a bit of inner city grittiness. I have loved it all, since 1978!",1,4,1,Dublin City,53.355545,-6.258094,Entire home/apt,3,1.0,1.0,1.0,153,2,1124,430,53,4,4.81,4.91,4.96,4.9,4.89,4.65,4.69,0,3.46,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3807.0
526767,"Location cannot be better. You are overlooking the River Liffey and directly above the beautiful Ha'penny Bridge. Cross the bridge and you are in Temple Bar with its numerous bars, restaurants, vintage clothes shops, Project Arts Centre, Gallery of Photography, Irish Film Institute and many other attractions. <br /><br />Dublin two main pedestrian shopping streets, Grafton and Henry St are about 5 minutes away. <br />Trinity College with its famous Library is 3 minutes walk. <br /><br />Dublin is experiencing a Renaissance after a long recession and every week a new exciting restaurant, cultural space or play is opening. It is a great time to be visiting!",1,3,1,Dublin City,53.34752,-6.26393,Entire home/apt,3,1.0,2.0,2.0,194,1,60,568,51,3,4.9,4.94,4.92,4.96,4.98,4.93,4.77,0,4.65,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3777.0
587218,,1,2,1,Dublin City,53.36405,-6.27351,Private room,2,1.5,1.0,1.0,80,2,7,220,28,5,4.98,4.97,4.96,4.99,4.99,4.76,4.94,0,1.81,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3716.0
592840,,1,2,1,South Dublin,53.35153,-6.45154,Private room,1,1.5,1.0,1.0,55,1,5,42,17,1,4.9,4.98,4.95,4.93,4.95,4.9,4.8,0,0.34,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3806.0
610233,"Just North of the River Liffey, this is the very heart of the city centre and the perfect location for anyone wishing to explore the city by foot. You have everything on your doorstep.",0,1,1,Dublin City,53.34616,-6.27228,Entire home/apt,4,2.5,2.0,2.0,150,2,1125,61,0,0,4.82,4.89,4.66,4.89,4.89,4.97,4.7,0,0.5,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4112.0
637185,,0,1,1,Dublin City,53.34675,-6.27552,Entire home/apt,2,1.0,1.0,1.0,119,7,60,158,0,0,4.5,4.6,4.43,4.63,4.55,4.72,4.55,0,1.31,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3689.0
641880,"Cafes, pubs, convenience stores, Phoenix Park, view over the river. Handy for city centre -Temple Bar 20 minute walk away, Grafton Street 25 minutes walk, Phoenix Park/Dublin Zoo 10-15 minutes walk. Public transport on the doorstep.",0,2,1,Dublin City,53.34427,-6.28322,Private room,2,1.0,1.0,1.0,85,2,1125,46,0,0,4.53,4.78,4.31,4.87,4.87,4.53,4.56,0,0.47,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3686.0
654589,"Have a glance at a map of Dublin and you'll see that Dame Street is right in the centre of everything that Dublin has to offer. Trinity College is at one end of Dame Street (3 minute walk from the apartment) and Christ Church Cathedral is at the other (2 minute walk in the other direction). On one side is Dublin Castle and City Hall, and on the other is Temple Bar. <br /><br />All other notable parts of the city – such as Grafton Street area, St Stephens Green, Merrion Square, O'Connell Street – are within a 10-15 minute walk.<br /><br />As well as being immersed in Dublin's history and culture, you're surrounded by the best cafes, restaurants, pubs and shopping in Dublin.",1,2,1,Dublin City,53.34493,-6.26688,Entire home/apt,4,1.0,2.0,3.0,356,3,150,538,50,3,4.78,4.81,4.84,4.9,4.94,4.94,4.63,0,4.41,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3682.0
690119,"The house is located on a quiet street within easy walking distance of the bustle of the restaurants, theatre, and shops of the internationally acclaimed Dundrum Town Centre. For something quieter stroll to the farmers market, gardens, and cafe at the beautiful Airfield Estate. Take a short and pleasant journey by light rail to the center of the city. The station is just across the street. Visible from the house the beautiful Dublin Mountains are a mere 15 min drive away.",0,1,1,Dn Laoghaire-Rathdown,53.29448,-6.24686,Entire home/apt,4,2.0,2.0,2.0,341,5,180,216,5,2,4.9,4.93,4.85,4.95,4.97,4.72,4.78,1,1.92,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3654.0
726011,"The town of Skerries is a very friendly place, as its quite a small resort almost everyone talks to everyone, so its easy to intergrate",1,1,1,Fingal,53.58179,-6.12118,Entire home/apt,3,1.5,1.0,3.0,113,3,1125,164,20,0,4.9,4.89,4.9,4.95,4.98,4.96,4.77,0,1.5,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3630.0
726075,The house is located on a quiet one way road with little traffic very close to the main road into the city or towards the airport.,1,9,1,Dublin City,53.36973,-6.25788,Entire home/apt,5,3.5,3.0,5.0,125,7,180,3,0,0,4.33,4.33,4.0,5.0,5.0,5.0,4.33,0,0.04,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3630.0
736751,,0,1,1,Dublin City,53.3701,-6.25308,Private room,2,1.5,1.0,1.0,80,14,30,74,3,0,4.52,4.62,4.36,4.81,4.75,4.65,4.6,0,0.61,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3638.0
736827,,0,16,1,Dublin City,53.34845,-6.24015,Entire home/apt,4,1.5,2.0,1.0,116,28,365,7,0,0,4.67,4.5,4.83,4.5,5.0,4.67,4.33,1,0.07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3622.0
742656,Camden St is a vibrant shopping and socialising street which is one of the main arteries out of the city heading south. The only remaining street except for the famous Moore St. to have fruit and vegetable stalls. A great mix of the traditional and the modern.,0,2,1,Dublin City,53.33387,-6.26429,Private room,2,0.5,1.0,1.0,65,2,1001,368,40,4,4.58,4.68,4.43,4.85,4.9,4.77,4.55,0,3.52,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3618.0
743772,"We are well serviced with bus routes, bars,, restaurants, take-aways, Botanic Gardens and Glasnevin Cemetary which is No. 2 on Tripadvisor",0,2,0,Dublin City,53.36721,-6.26704,Private room,2,1.0,1.0,1.0,140,2,1125,5,1,0,4.75,4.25,5.0,5.0,5.0,5.0,4.25,0,0.05,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3617.0
747284,,0,1,1,Dn Laoghaire-Rathdown,53.29505,-6.23371,Entire home/apt,4,1.5,2.0,1.0,229,15,90,38,9,1,4.97,4.95,4.97,4.97,5.0,4.87,4.79,0,0.33,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3889.0
